A00	Cholera
J86	Pyothorax
J90	Pleural effusion, not elsewhere classified
J91	Pleural effusion in conditions classified elsewhere
J92	Pleural plaque
J93	Pneumothorax
J94	Other pleural conditions
J95	Postprocedural respiratory disorders, not elsewhere classified
J96	Respiratory failure, not elsewhere classified
J98	Other respiratory disorders
J99	Respiratory disorders in diseases classified elsewhere
K00	Disorders of tooth development and eruption
K01	Embedded and impacted teeth
K02	Dental caries
K03	Other diseases of hard tissues of teeth
K04	Diseases of pulp and periapical tissues
K05	Gingivitis and periodontal diseases
K06	Other disorders of gingiva and edentulous alveolar ridge
K07	Dentofacial anomalies [including malocclusion]
K08	Other disorders of teeth and supporting structures
K09	Cysts of oral region, not elsewhere classified
K10	Other diseases of jaws
K11	Diseases of salivary glands
K12	Stomatitis and related lesions
K13	Other diseases of lip and oral mucosa
K14	Diseases of tongue
K20	Oesophagitis
K21	Gastro-oesophageal reflux disease
K22	Other diseases of oesophagus
K23	Disorders of oesophagus in diseases classified elsewhere
K25	Gastric ulcer
K26	Duodenal ulcer
K27	Peptic ulcer, site unspecified
K28	Gastrojejunal ulcer
K29	Gastritis and duodenitis
K30	Dyspepsia
K31	Other diseases of stomach and duodenum
K35	Acute appendicitis
K36	Other appendicitis
K37	Unspecified appendicitis
K38	Other diseases of appendix
K40	Inguinal hernia
K41	Femoral hernia
K42	Umbilical hernia
K43	Ventral hernia
K44	Diaphragmatic hernia
K45	Other abdominal hernia
K46	Unspecified abdominal hernia
K50	Crohn's disease [regional enteritis]
K51	Ulcerative colitis
K52	Other noninfective gastroenteritis and colitis
K55	Vascular disorders of intestine
K56	Paralytic ileus and intestinal obstruction without hernia
K57	Diverticular disease of intestine
K58	Irritable bowel syndrome
K59	Other functional intestinal disorders
K60	Fissure and fistula of anal and rectal regions
K61	Abscess of anal and rectal regions
K62	Other diseases of anus and rectum
K63	Other diseases of intestine
K65	Peritonitis
K66	Other disorders of peritoneum
K67	Disorders of peritoneum in infectious diseases classified elsewhere
K70	Alcoholic liver disease
K71	Toxic liver disease
K72	Hepatic failure, not elsewhere classified
K73	Chronic hepatitis, not elsewhere classified
K74	Fibrosis and cirrhosis of liver
K75	Other inflammatory liver diseases
K76	Other diseases of liver
K77	Liver disorders in diseases classified elsewhere
K80	Cholelithiasis
K81	Cholecystitis
K82	Other diseases of gallbladder
K83	Other diseases of biliary tract
K85	Acute pancreatitis
K86	Other diseases of pancreas
K87	Disorders of gallbladder, biliary tract and pancreas in diseases classified elsewhere
K90	Intestinal malabsorption
K91	Postprocedural disorders of digestive system, not elsewhere classified
K92	Other diseases of digestive system
K93	Disorders of other digestive organs in diseases classified elsewhere
L00	Staphylococcal scalded skin syndrome
L01	Impetigo
L02	Cutaneous abscess, furuncle and carbuncle
L03	Cellulitis
L04	Acute lymphadenitis
L05	Pilonidal cyst
L08	Other local infections of skin and subcutaneous tissue
L10	Pemphigus
L11	Other acantholytic disorders
L12	Pemphigoid
L13	Other bullous disorders
L14	Bullous disorders in diseases classified elsewhere
L20	Atopic dermatitis
L21	Seborrhoeic dermatitis
L22	Diaper [napkin] dermatitis
L23	Allergic contact dermatitis
L24	Irritant contact dermatitis
L25	Unspecified contact dermatitis
L26	Exfoliative dermatitis
L27	Dermatitis due to substances taken internally
L28	Lichen simplex chronicus and prurigo
L29	Pruritus
L30	Other dermatitis
L40	Psoriasis
L41	Parapsoriasis
L42	Pityriasis rosea
L43	Lichen planus
L44	Other papulosquamous disorders
L45	Papulosquamous disorders in diseases classified elsewhere
L50	Urticaria
L51	Erythema multiforme
L52	Erythema nodosum
L53	Other erythematous conditions
L54	Erythema in diseases classified elsewhere
L55	Sunburn
L56	Other acute skin changes due to ultraviolet radiation
L57	Skin changes due to chronic exposure to nonionizing radiation
L58	Radiodermatitis
L59	Other disorders of skin and subcutaneous tissue related to radiation
L60	Nail disorders
L62	Nail disorders in diseases classified elsewhere
L63	Alopecia areata
L64	Androgenic alopecia
L65	Other nonscarring hair loss
L66	Cicatricial alopecia [scarring hair loss]
L67	Hair colour and hair shaft abnormalities
L68	Hypertrichosis
L70	Acne
L71	Rosacea
L72	Follicular cysts of skin and subcutaneous tissue
L73	Other follicular disorders
L74	Eccrine sweat disorders
L75	Apocrine sweat disorders
L80	Vitiligo
L81	Other disorders of pigmentation
L82	Seborrhoeic keratosis
L83	Acanthosis nigricans
L84	Corns and callosities
L85	Other epidermal thickening
L86	Keratoderma in diseases classified elsewhere
L87	Transepidermal elimination disorders
L88	Pyoderma gangrenosum
L89	Decubitus ulcer and pressure area
L90	Atrophic disorders of skin
L91	Hypertrophic disorders of skin
L92	Granulomatous disorders of skin and subcutaneous tissue
L93	Lupus erythematosus
L94	Other localized connective tissue disorders
L95	Vasculitis limited to skin, not elsewhere classified
L97	Ulcer of lower limb, not elsewhere classified
L98	Other disorders of skin and subcutaneous tissue, not elsewhere classified
L99	Other disorders of skin and subcutaneous tissue in diseases classified elsewhere
M00	Pyogenic arthritis
M01	Direct infections of joint in infectious and parasitic diseases classified elsewhere
M02	Reactive arthropathies
M03	Postinfective and reactive arthropathies in diseases classified elsewhere
M05	Seropositive rheumatoid arthritis
M06	Other rheumatoid arthritis
M07	Psoriatic and enteropathic arthropathies
M08	Juvenile arthritis
M09	Juvenile arthritis in diseases classified elsewhere
M10	Gout
M11	Other crystal arthropathies
M12	Other specific arthropathies
M13	Other arthritis
M14	Arthropathies in other diseases classified elsewhere
M15	Polyarthrosis
M16	Coxarthrosis [arthrosis of hip]
M17	Gonarthrosis [arthrosis of knee]
M18	Arthrosis of first carpometacarpal joint
M19	Other arthrosis
M20	Acquired deformities of fingers and toes
M21	Other acquired deformities of limbs
M22	Disorders of patella
M23	Internal derangement of knee
M24	Other specific joint derangements
M25	Other joint disorders, not elsewhere classified
M30	Polyarteritis nodosa and related conditions
M31	Other necrotizing vasculopathies
M32	Systemic lupus erythematosus
M33	Dermatopolymyositis
M34	Systemic sclerosis
M35	Other systemic involvement of connective tissue
M36	Systemic disorders of connective tissue in diseases classified elsewhere
M40	Kyphosis and lordosis
M41	Scoliosis
M42	Spinal osteochondrosis
M43	Other deforming dorsopathies
M45	Ankylosing spondylitis
M46	Other inflammatory spondylopathies
M47	Spondylosis
M48	Other spondylopathies
M49	Spondylopathies in diseases classified elsewhere
M50	Cervical disc disorders
M51	Other intervertebral disc disorders
M53	Other dorsopathies, not elsewhere classified
M54	Dorsalgia
M60	Myositis
M61	Calcification and ossification of muscle
M62	Other disorders of muscle
M63	Disorders of muscle in diseases classified elsewhere
M65	Synovitis and tenosynovitis
M66	Spontaneous rupture of synovium and tendon
M67	Other disorders of synovium and tendon
M68	Disorders of synovium and tendon in diseases classified elsewhere
M70	Soft tissue disorders related to use, overuse and pressure
M71	Other bursopathies
M72	Fibroblastic disorders
M73	Soft tissue disorders in diseases classified elsewhere
M75	Shoulder lesions
M76	Enthesopathies of lower limb, excluding foot
M77	Other enthesopathies
M79	Other soft tissue disorders, not elsewhere classified
M80	Osteoporosis with pathological fracture
M81	Osteoporosis without pathological fracture
M82	Osteoporosis in diseases classified elsewhere
M83	Adult osteomalacia
M84	Disorders of continuity of bone
M85	Other disorders of bone density and structure
M86	Osteomyelitis
M87	Osteonecrosis
M88	Paget's disease of bone [osteitis deformans]
M89	Other disorders of bone
M90	Osteopathies in diseases classified elsewhere
M91	Juvenile osteochondrosis of hip and pelvis
M92	Other juvenile osteochondrosis
M93	Other osteochondropathies
M94	Other disorders of cartilage
M95	Other acquired deformities of musculoskeletal system and connective tissue
M96	Postprocedural musculoskeletal disorders, not elsewhere classified
M99	Biomechanical lesions, not elsewhere classified
N00	Acute nephritic syndrome
N01	Rapidly progressive nephritic syndrome
N02	Recurrent and persistent haematuria
N03	Chronic nephritic syndrome
N04	Nephrotic syndrome
N05	Unspecified nephritic syndrome
N06	Isolated proteinuria with specified morphological lesion
N07	Hereditary nephropathy, not elsewhere classified
N08	Glomerular disorders in diseases classified elsewhere
N10	Acute tubulo-interstitial nephritis
N11	Chronic tubulo-interstitial nephritis
N12	Tubulo-interstitial nephritis, not specified as acute or chronic
N13	Obstructive and reflux uropathy
N14	Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions
N15	Other renal tubulo-interstitial diseases
N16	Renal tubulo-interstitial disorders in diseases classified elsewhere
N17	Acute renal failure
N18	Chronic kidney disease
N19	Unspecified kidney failure
N20	Calculus of kidney and ureter
N21	Calculus of lower urinary tract
N22	Calculus of urinary tract in diseases classified elsewhere
N23	Unspecified renal colic
N25	Disorders resulting from impaired renal tubular function
N26	Unspecified contracted kidney
N27	Small kidney of unknown cause
N28	Other disorders of kidney and ureter, not elsewhere classified
N29	Other disorders of kidney and ureter in diseases classified elsewhere
N30	Cystitis
N31	Neuromuscular dysfunction of bladder, not elsewhere classified
N32	Other disorders of bladder
N33	Bladder disorders in diseases classified elsewhere
N34	Urethritis and urethral syndrome
N35	Urethral stricture
N36	Other disorders of urethra
N37	Urethral disorders in diseases classified elsewhere
N39	Other disorders of urinary system
N40	Hyperplasia of prostate
N41	Inflammatory diseases of prostate
N42	Other disorders of prostate
N43	Hydrocele and spermatocele
N44	Torsion of testis
N45	Orchitis and epididymitis
N46	Male infertility
N47	Redundant prepuce, phimosis and paraphimosis
N48	Other disorders of penis
N49	Inflammatory disorders of male genital organs, not elsewhere classified
N50	Other disorders of male genital organs
N51	Disorders of male genital organs in diseases classified elsewhere
N60	Benign mammary dysplasia
N61	Inflammatory disorders of breast
N62	Hypertrophy of breast
N63	Unspecified lump in breast
N64	Other disorders of breast
N70	Salpingitis and oophoritis
N71	Inflammatory disease of uterus, except cervix
N72	Inflammatory disease of cervix uteri
N73	Other female pelvic inflammatory diseases
N74	Female pelvic inflammatory disorders in diseases classified elsewhere
N75	Diseases of Bartholin's gland
N76	Other inflammation of vagina and vulva
N77	Vulvovaginal ulceration and inflammation in diseases classified elsewhere
N80	Endometriosis
N81	Female genital prolapse
N82	Fistulae involving female genital tract
N83	Noninflammatory disorders of ovary, fallopian tube and broad ligament
N84	Polyp of female genital tract
N85	Other noninflammatory disorders of uterus, except cervix
N86	Erosion and ectropion of cervix uteri
N87	Dysplasia of cervix uteri
N88	Other noninflammatory disorders of cervix uteri
N89	Other noninflammatory disorders of vagina
N90	Other noninflammatory disorders of vulva and perineum
N91	Absent, scanty and rare menstruation
N92	Excessive, frequent and irregular menstruation
N93	Other abnormal uterine and vaginal bleeding
N94	Pain and other conditions associated with female genital organs and menstrual cycle
N95	Menopausal and other perimenopausal disorders
N96	Habitual aborter
N97	Female infertility
N98	Complications associated with artificial fertilization
N99	Postprocedural disorders of genitourinary system, not elsewhere classified
O00	Ectopic pregnancy
O01	Hydatidiform mole
O02	Other abnormal products of conception
O03	Spontaneous abortion
O04	Medical abortion
O05	Other abortion
O06	Unspecified abortion
O07	Failed attempted abortion
O08	Complications following abortion and ectopic and molar pregnancy
O10	Pre-existing hypertension complicating pregnancy, childbirth and the puerperium
O11	Pre-existing hypertensive disorder with superimposed proteinuria
O12	Gestational [pregnancy-induced] oedema and proteinuria without hypertension
O13	Gestational [pregnancy-induced] hypertension without significant proteinuria
O14	Gestational [pregnancy-induced] hypertension with significant proteinuria
O15	Eclampsia
O16	Unspecified maternal hypertension
O20	Haemorrhage in early pregnancy
O21	Excessive vomiting in pregnancy
O22	Venous complications in pregnancy
O23	Infections of genitourinary tract in pregnancy
O24	Diabetes mellitus in pregnancy
O25	Malnutrition in pregnancy
O26	Maternal care for other conditions predominantly related to pregnancy
O28	Abnormal findings on antenatal screening of mother
O29	Complications of anaesthesia during pregnancy
O30	Multiple gestation
O31	Complications specific to multiple gestation
O32	Maternal care for known or suspected malpresentation of fetus
